[08/29 18:49:31] psnet5 INFO: Full config saved to log/psnet5/respointnet2_dp_fi_df_fc1_max_20260829184931/config.json
[08/29 18:49:33] psnet5 INFO: length of training dataset: 2000
[08/29 18:49:33] psnet5 INFO: length of validation dataset: 2000
[08/29 19:04:46] psnet5 INFO: Train: [1/3][910/1000]	T 1.112 (1.001)	DT 0.000 (0.000)	loss 1.397 (1.186)
[08/29 19:04:56] psnet5 INFO: Train: [1/3][920/1000]	T 0.989 (1.001)	DT 0.000 (0.000)	loss 0.904 (1.183)
[08/29 19:05:06] psnet5 INFO: Train: [1/3][930/1000]	T 0.949 (1.001)	DT 0.000 (0.000)	loss 1.095 (1.180)
[08/29 19:05:16] psnet5 INFO: Train: [1/3][940/1000]	T 1.053 (1.001)	DT 0.000 (0.000)	loss 1.115 (1.180)
[08/29 19:05:26] psnet5 INFO: Train: [1/3][950/1000]	T 1.109 (1.001)	DT 0.000 (0.000)	loss 1.033 (1.184)
[08/29 19:05:36] psnet5 INFO: Train: [1/3][960/1000]	T 1.070 (1.002)	DT 0.000 (0.000)	loss 1.002 (1.185)
[08/29 19:05:47] psnet5 INFO: Train: [1/3][970/1000]	T 1.043 (1.002)	DT 0.000 (0.000)	loss 0.719 (1.188)
[08/29 19:05:57] psnet5 INFO: Train: [1/3][980/1000]	T 0.953 (1.003)	DT 0.000 (0.000)	loss 1.064 (1.186)
[08/29 19:06:07] psnet5 INFO: Train: [1/3][990/1000]	T 0.990 (1.002)	DT 0.000 (0.000)	loss 0.701 (1.186)
[08/29 19:06:16] psnet5 INFO: epoch 1, total time 1002.78, lr 0.00250
[08/29 19:06:16] psnet5 INFO: ==> Saving...
[08/29 19:06:18] psnet5 INFO: Train: [2/3][0/1000]	T 1.139 (1.139)	DT 0.176 (0.176)	loss 1.220 (1.220)
[08/29 19:06:28] psnet5 INFO: Train: [2/3][10/1000]	T 0.957 (1.026)	DT 0.000 (0.016)	loss 0.914 (1.165)
[08/29 19:06:38] psnet5 INFO: Train: [2/3][20/1000]	T 0.938 (1.019)	DT 0.000 (0.009)	loss 0.658 (1.090)
[08/29 19:06:48] psnet5 INFO: Train: [2/3][30/1000]	T 1.068 (1.018)	DT 0.000 (0.006)	loss 0.547 (1.047)
[08/29 19:06:58] psnet5 INFO: Train: [2/3][40/1000]	T 1.051 (1.023)	DT 0.000 (0.004)	loss 1.034 (1.031)
[08/29 19:07:08] psnet5 INFO: Train: [2/3][50/1000]	T 1.222 (1.016)	DT 0.000 (0.004)	loss 1.235 (1.072)
[08/29 19:07:19] psnet5 INFO: Train: [2/3][60/1000]	T 0.986 (1.018)	DT 0.000 (0.003)	loss 0.977 (1.053)
[08/29 19:07:29] psnet5 INFO: Train: [2/3][70/1000]	T 1.110 (1.017)	DT 0.000 (0.003)	loss 1.691 (1.062)
[08/29 19:07:39] psnet5 INFO: Train: [2/3][80/1000]	T 1.093 (1.017)	DT 0.000 (0.002)	loss 0.773 (1.075)
[08/29 19:07:49] psnet5 INFO: Train: [2/3][90/1000]	T 0.922 (1.014)	DT 0.000 (0.002)	loss 1.156 (1.066)
[08/29 19:07:59] psnet5 INFO: Train: [2/3][100/1000]	T 1.042 (1.018)	DT 0.000 (0.002)	loss 0.677 (1.060)
[08/29 19:08:09] psnet5 INFO: Train: [2/3][110/1000]	T 1.104 (1.018)	DT 0.000 (0.002)	loss 0.937 (1.065)
[08/29 19:08:20] psnet5 INFO: Train: [2/3][120/1000]	T 1.099 (1.020)	DT 0.000 (0.002)	loss 0.904 (1.070)
[08/29 19:08:30] psnet5 INFO: Train: [2/3][130/1000]	T 0.890 (1.020)	DT 0.000 (0.001)	loss 1.142 (1.067)
[08/29 19:08:40] psnet5 INFO: Train: [2/3][140/1000]	T 1.044 (1.019)	DT 0.000 (0.001)	loss 0.606 (1.069)
[08/29 19:08:50] psnet5 INFO: Train: [2/3][150/1000]	T 1.105 (1.018)	DT 0.000 (0.001)	loss 0.724 (1.076)
[08/29 19:09:00] psnet5 INFO: Train: [2/3][160/1000]	T 1.184 (1.018)	DT 0.000 (0.001)	loss 1.247 (1.072)
[08/29 19:09:11] psnet5 INFO: Train: [2/3][170/1000]	T 0.953 (1.018)	DT 0.000 (0.001)	loss 1.390 (1.080)
[08/29 19:09:20] psnet5 INFO: Train: [2/3][180/1000]	T 0.978 (1.017)	DT 0.000 (0.001)	loss 1.174 (1.075)
[08/29 19:09:31] psnet5 INFO: Train: [2/3][190/1000]	T 0.921 (1.018)	DT 0.000 (0.001)	loss 1.052 (1.071)
[08/29 19:09:41] psnet5 INFO: Train: [2/3][200/1000]	T 1.104 (1.018)	DT 0.000 (0.001)	loss 0.911 (1.069)
[08/29 19:09:51] psnet5 INFO: Train: [2/3][210/1000]	T 0.908 (1.017)	DT 0.000 (0.001)	loss 2.732 (1.080)
[08/29 19:10:01] psnet5 INFO: Train: [2/3][220/1000]	T 0.961 (1.017)	DT 0.000 (0.001)	loss 0.409 (1.076)
[08/29 19:10:11] psnet5 INFO: Train: [2/3][230/1000]	T 0.906 (1.017)	DT 0.000 (0.001)	loss 1.788 (1.076)
[08/29 19:10:21] psnet5 INFO: Train: [2/3][240/1000]	T 0.899 (1.016)	DT 0.000 (0.001)	loss 0.772 (1.074)
[08/29 19:10:31] psnet5 INFO: Train: [2/3][250/1000]	T 0.918 (1.016)	DT 0.000 (0.001)	loss 0.599 (1.062)
